id	type	modified	license	rightsHolder	collectionID	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	otherCatalogNumbers	associatedMedia	associatedSequences	eventID	eventDate	year	month	day	verbatimEventDate	habitat	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferencedBy	georeferenceProtocol	georeferenceSources	georeferenceRemarks	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lithostratigraphicTerms	group	formation	member	bed	identificationID	identifiedBy	dateIdentified	typeStatus	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode
MCZ:Orn:154336	PhysicalObject	2015-06-04 14:20:39.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:154336	154336			William Louis Abbott	1	male					1263389	1892-09-30				Sep. 30. 1892		Africa: Seychelles Islands: Aldabra	Africa		Seychelles Islands	Aldabra				northwest of Madagascar	Aldabra Island,  N.W. of Madagascar																														1240188	Catalog			Streptopelia picturata aldabrana	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	picturata	aldabrana		(P. L. Sclater, 1872)	ICZN
MCZ:Orn:153738	PhysicalObject	2015-06-04 14:20:39.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:153738	153738			William Louis Abbott	1	female		previous number=128733			1263388	1892-11-18				18/11/1892		Africa: Seychelles Islands: Aldabra	Africa		Seychelles Islands	Aldabra				northwest of Madagascar	Aldabra Island. Indian Ocean																														1240190	Catalog			Streptopelia picturata aldabrana	Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	picturata	aldabrana		(P. L. Sclater, 1872)	ICZN
MCZ:Orn:94910	PhysicalObject	2013-08-01 11:16:38.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:94910	94910			Kuhn, H.	1	female					794541	1902-08-05				5/8/1902		Southeast Asia: Romah	Southeast Asia			Romah					Southeast Asia																														1284464	Catalog			Zoothera peronii audacis	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Zoothera	peronii	audacis			ICZN
MCZ:Orn:151258	PhysicalObject	2013-08-01 11:16:38.0	CC-BY-NC	President and Fellows of Harvard College	5	MCZ	Orn	PreservedSpecimen	MCZ:Orn:151258	151258			Kuhn, H.	1	male		collector number 2=798			794545	1902-07-16				16/7/1902		Southeast Asia: Romah	Southeast Asia			Romah					Southeast Asia																														1284468	Catalog			Zoothera peronii audacis	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Zoothera	peronii	audacis			ICZN
MCZ:Mala:1801	PhysicalObject	2014-09-25 15:36:38.0	CC-BY-NC	President and Fellows of Harvard College	3	MCZ	Mala	PreservedSpecimen	MCZ:Mala:1801	1801	Entered from ledger.		[no agent data]	1						836496	1700-01-01				[no verbatim date data]		Oxford							Oxford	O, Mill Creek	Oxford, O, Mill Creek																														1326637	[no agent data]			Goniobasis	Animalia	Mollusca	Gastropoda		Pleuroceridae	Goniobasis					ICZN
MCZ:Mala:8850	PhysicalObject	2014-09-25 16:09:14.0	CC-BY-NC	President and Fellows of Harvard College	3	MCZ	Mala	PreservedSpecimen	MCZ:Mala:8850	8850	Entered from ledger.		[no agent data]	1						839699	1700-01-01				[no verbatim date data]		Bandae					Bandae				Bandae																														1329840	[no agent data]			Helicella crenulata	Animalia	Mollusca	Gastropoda	Stylommatophora	Helicellidae	Helicella	crenulata			Mull	ICZN
MCZ:Mala:9881	PhysicalObject	2016-02-08 13:04:53.0	CC-BY-NC	President and Fellows of Harvard College	3	MCZ	Mala	PreservedSpecimen	MCZ:Mala:9881	9881	Entered from ledger.		[no agent data]	1						843491	1700-01-01				[no verbatim date data]		Europe: Bohemia	Europe					Bohemia		Leipa	Bohemia, Leipa																														1333633	[no agent data]			Clausilia ventricosa	Animalia	Mollusca	Gastropoda	Stylommatophora	Clausiliidae	Clausilia	ventricosa			Draparnaud	ICZN
MCZ:Mala:10143	PhysicalObject	2016-02-08 13:04:53.0	CC-BY-NC	President and Fellows of Harvard College	3	MCZ	Mala	PreservedSpecimen	MCZ:Mala:10143	10143	Entered from ledger.		[no agent data]	1						845083	1700-01-01				[no verbatim date data]		Europe: Bohemia	Europe					Bohemia		Gottschen	Bohemia, Gottschen																														1335225	[no agent data]			Pomatias spiralis	Animalia	Mollusca	Gastropoda	Littorinimorpha	Pomatiasidae	Pomatias	spiralis			Raz.	ICZN
MCZ:IP:112362	PhysicalObject	2015-06-05 12:58:31.0	CC-BY-NC	President and Fellows of Harvard College	7	MCZ	IP	FossilSpecimen	MCZ:IP:112362	112362	stems ['year entered' from cataloger attribute: 1998]		[no agent data]	1			MUSE locality number=1657; previous number=none			891459	1700-01-01				[no verbatim date data]		North America: United States: Unknown	North America				United States	Unknown		unknown	unknown																			Mississippian	Mississippian			Osagean	Osagean	Burlington Ls		Burlington Ls			1401129	[no agent data]	1960-02-01 00:00:00.0		Crinoidea	Animalia	Echinodermata	Crinoidea								ICZN
MCZ:IP:IPAR-283	PhysicalObject	2015-08-19 15:24:48.0	CC-BY-NC	President and Fellows of Harvard College	7	MCZ	IP	FossilSpecimen	MCZ:IP:IPAR-283	283			Josiah Dwight Whitney	1						899400	1700-01-01				[no verbatim date data]		Ill.?						Ill.?			Mineral Point																			Ordovician	Ordovician	Middle Ordovician	Middle Ordovician			Trenton Ls		Trenton Ls			1504461	P.E.R. ident.			Basilicus barrandei	Animalia	Arthropoda	Trilobita	Ptychopariida	Asaphidae	Basilicus	barrandei			(Hall)	ICZN
